w1,w2,examples
['ЛЁГКИЙ'],['КРЕПКИЙ'],"[['Легкое вино — крепкое вино.', ['Легкое'], ['крепкое']], ['Легкий напиток — крепкий напиток.', ['Легкий'], ['крепкий']], ['Легкий табак — крепкий табак.', ['Легкий'], ['крепкий']]]"
"['ЛЁГКИЙ', 'ЛЁГКИЙ']","['СИЛЬНЫЙ', 'КРЕПКИЙ']","[['Легкий туман — сильный туман.', ['Легкий'], ['сильный']], ['Легкая боль — сильная боль.', ['Легкая'], ['сильная']], ['Легкий голод — сильный голод.', ['Легкий'], ['сильный']], ['Легкий запах духов — сильный (крепкий) запах духов.', ['Легкий'], ['сильный']], ['Легкий мороз —сильный (крепкий) мороз.', ['Легкий'], ['крепкий']]]"
['ЛЁГКИЙ'],['СЕРЬЁЗНЫЙ'],"[['Отделять серьезный жанр от легкого — не значит не уважать легкий жанр или малые формы.', ['легкого'], ['серьезный']], ['Театр (Корша) не вышел на дорогу большого, серьезного репертуара. Упор был сделан на легкие, бессодержательные пьесы.', ['легкие'], ['серьезного']], ['Но это мьюзикл, поэтому наряду с серьезным будет легкое — пение и танцы. С первой же сцены стало ясно, что, если какое-то соотношение между серьезным и легким и существовало в замысле, авторы и театр не пожалели сил, чтобы уверенно довести дело до полного торжества второго над первым.', ['легкое'], ['серьезным']]]"
"['ЛЕГКО', 'ЛЕГКО', 'ЛЕГКО']","['ТЯЖЕЛО', 'ТРУДНО', 'НЕЛЕГКО']","[['Утром, когда вылезала из самолета, думала, как ей найти Артемьева. Легко это будет или трудно?', ['Легко'], ['трудно']], ['Тяжело в учении—легко в походе; легко в учении—тяжело в бою.', ['легко'], ['тяжело']], ['Научиться легко, научить тяжело.', ['легко'], ['тяжело']], ['Легко поднять, да тяжело нести.', ['Легко'], ['тяжело']], ['Ему со мной легко, а мне с ним трудно.', ['легко'], ['трудно']], ['Легко сказать, да трудно доказать.', ['Легко'], ['трудно']], ['Легко очернить, нелегко обелить.', ['Легко'], [' нелегко']]]"
['ЛЁГКОСТЬ'],['ТРУДНОСТЬ'],"[['Посылаю вам копии с двух писем отказавшихся: одно покажет вам всю трудность отказа, другое — всю легкость его.', ['легкость'], ['трудность']]]"
"['ЛЕДЯНОЙ', 'ЛЕДЯНОЙ']","['ЗНОЙНЫЙ', 'ПАЛЯЩИЙ']","[['Через сад протекал большой и глубокий арык. Вода в нем была ледяная, она обжигала даже в знойные дни.', ['ледяная'], ['знойные']], ['Эти губительные засухи, эти ранние заморозки, эти бесконечные болота на севере, эти безлесные степи и сыпучие пески на юге; царство ледяного ветра и палящего зноя.', ['ледяного'], ['палящего']]]"
['ЛЕНИВЫЙ'],['ТРУДОЛЮБИВЫЙ'],"[['Ленивый ученик — трудолюбивый ученик.', ['Ленивый'], ['трудолюбивый']], ['Ленивый сын — трудолюбивый сын.', ['Ленивый'], ['трудолюбивый']]]"
['ЛЕНИВЫЙ'],['ТОРОПЛИВЫЙ'],"[['Походка торопливая, с оглядками говорит о ветрености илегкомыслии. Походка ленивая бывает у женщин, сердце которых уже занято.', ['ленивая'], ['торопливая']], ['Его (Катилины)походка была то ленивая, то торопливая.', ['ленивая'], ['торопливая']]]"
['ЛЕНЬ'],['ТРУДОЛЮБИЕ'],"[['Чтобы научиться трудолюбию, нужны три года; чтобы научиться лени — только три дня.', ['лени'], ['трудолюбию']]]"
['ЛЖИВО'],['ПРАВДИВО'],"[['И опять-таки его (художника) правом является комбинировать их, как это нужно для его художественной цели, — правдиво или лживо, реалистически или стилизуя заявления, и т.д.', ['лживо'], ['правдиво']]]"
['ЛЖИВЫЙ'],['ПРАВДИВЫЙ'],"[['Были мальчики правдивые или лживые; с характером прямым или извилистым.', ['лживые'], ['правдивые']], ['Новая жизнь, как на нее ни смотри, с резкой определенностью подняла идеологию и потребовала точнейшей терминологии: это хорошо, а это подло, это здорово, правдиво, а это лживо, уклончиво и т.д.', ['лживо'], ['правдиво']]]"
['ЛИЧНЫЙ'],['ОБЩЕСТВЕННЫЙ'],"[['Анархизм — последняя судорога уже не общественного, а личного бунта против нестерпимого гнета государственного мещанства.', ['личного'], ['общественного']], ['Государственное овладение необъятными русскими пространствами сопровождалось страшной централизацией, подчинением всей жизни государственному интересу и подавлением свободных личных и общественных сил.', ['личных'], ['общественных']]]"
['ЛОГИЧНЫЙ'],['НЕЛОГИЧНЫЙ'],"[['В принципе всякое явление искусства в истоках своих логично и реально объяснимо, хотя в своих конечных формах подчас кажется нам непонятным и нелогичным, если мы не знаем его происхождения.', ['логично'], ['нелогичным']], ['И нелогичным он (человек) бывает в прямом смысле этого слова, а не так, как толкует Анна Михайловна. Логичным — вовсе не значит арифметически простым.', ['логичным'], ['нелогичным']]]"
['ЛОЖНЫЙ'],['ПРАВДИВЫЙ'],"[['Ложное показание — правдивое показание.', ['Ложное'], ['правдивое']], ['Ложное донесение — правдивое донесение.', ['Ложное'], ['правдивое']], ['Ложные слова — правдивые слова.', ['Ложные'], ['правдивые']]]"
"['ЛОЖНЫЙ', 'ЛОЖНЫЙ']","['НАСТОЯЩИЙ', 'ПОДЛИННЫЙ']","[['Чем проще илучше в своей простоте становятся предметы «нового» обихода, тем яростнее обставляются комнаты «Людовиками» как подлинными, так и ложными.', ['ложными'], ['подлинными']], ['Над самым горизонтом сияло три дымных, малиновых солнца — одно настоящее и по бокам два ложных.', ['ложных'], ['настоящее']]]"
['ЛОМАТЬ'],['СТРОИТЬ'],"[['Нужно было сломать старый дом, чтобы на месте его построить новый.', ['сломать'], ['построить']]]"
['ЛУЧШЕ'],['ХУЖЕ'],"[['Надо было поехать на фронт и доказать, на что способен ты, который не лучше и не хуже других, оставшихся там.', ['лучше'], ['хуже']], ['С тех пор, как я был студентом, он (сад), кажется, не стал ни лучше, ни хуже.', ['лучше'], ['хуже']], ['Рыбаков знал, что виноват, но знал и то, что иначе сделать не мог, и хотел сделать как лучше, а не как хуже.', ['лучше'], ['хуже']], ['Почему у меня всегда так получается? Хочу сделать лучше, а получается хуже.', ['лучше'], ['хуже']], ['— Пою, как умею, не лучше и не хуже этого, девушка!', ['лучше'], ['хуже']], ['Изо дня в день ему становилось то лучше, то хуже, ничего нельзя было понять, а время шло, неопределенность наскучила.', ['лучше'], ['хуже']]]"
['ЛУЧШИЙ'],['ХУДШИЙ'],"[['Серпилин, стремясь быть справедливым, рассказал, как выглядел Батюк с его колокольни в разные моменты своей жизни, лучшие и худшие.', ['лучшие'], ['худшие']], ['Смысл того, что говорили ему, был слишком опасен: он вел в такие недра его души, где во все времена, лучшие и худшие, сохранялось чувство ущемленности тем строем жизни, который окружал его.', ['лучшие'], ['худшие']], ['Отнят тот уютный очаг, усадьба, «милая земля», которую столько воспевали и лучшие и худшие литераторы дворянства.', ['лучшие'], ['худшие']], ['Лучшее дарование — ум, худшая беда — невежество. ', ['Лучшее'], ['худшая']], ['Существует ли рядом с ним, стихийным процессом, — в котором нет ни худшего, ни лучшего, — разумный прогресс, результат сознательного творчества ?', ['лучшего'], ['худшего']], ['Трубадуры средневековья считали строфу собственностью того, кто ее изобрел, и не позволяли себе пользоваться чужими строфами. Современность снисходительнее в этом отношении: почему искать уже найденное или пользоваться худшим, когда есть лучшее?', ['лучшее'], ['худшим']]]"
"['ЛЮБИМЫЙ', 'ЛЮБИМЫЙ']","['НЕЛЮБИМЫЙ', 'НЕНАВИСТНЫЙ']","[['Желаю вам поскорее освободиться от излишней и нелюбимой работы и отдаться любимой.', ['любимой'], ['нелюбимой']], ['Он сидит на набережной, рассматривает трещины, словно линии любимой и ненавистной руки.', ['любимой'], ['ненавистной']]]"
['ЛЮБИТЬ'],['НЕНАВИДЕТЬ'],"[['Мало любить и смягчать; нужно ненавидеть и быть твердым.', ['любить'], ['ненавидеть']], ['— Ты девушка русская, значит, умеешь любить и ненавидеть до конца.', ['любить'], ['ненавидеть']], ['Как вообще можно одновременно ненавидеть и любить ?', ['любить'], ['ненавидеть']], ['— Я себя очень люблю,но когда мне напоминают, что я женщина, то я начинаю ненавидеть себя.', ['люблю'], ['ненавидеть']], ['Я теперь ненавижу то, что прежде любил, а вы — наоборот.', ['любил'], ['ненавижу']], ['Вы знаете, что я был честен, ненавидел рабство и варварство и любил свободу, мудрость и веселье.', ['любил'], ['ненавидел']], ['Отношение мое к футуристам было в ту пору сложное: я ненавидел их проповедь, но любил их самих, их талант.', ['любил'], ['ненавидел']]]"
['ЛЮБОВНЫЙ'],['НЕНАВИСТНИЧЕСКИЙ'],"[['В этом я понимаю смысл жизни: в том,чтобы устанавливать Царство Божье на земле, то есть заменять насильственное, жестокое, ненавистническое сожительство людей любовным и братским.', ['любовным'], ['ненавистническое']]]"
"['ЛЮБОВЬ', 'ЛЮБОВЬ', 'ЛЮБОВЬ', 'ЛЮБОВЬ']","['НЕНАВИСТЬ', 'ВРАЖДЕБНОСТЬ', 'НЕДОБРОЖЕЛАТЕЛЬНОСТЬ', 'НЕЛЮБОВЬ']","[['Впрочем, то, что я сейчас расскажу, происходило, когда я еще ничего не смыслил ни в любви, ни в ненависти.', ['любви'], ['ненависти']], ['Она понимает все: и любовь, и ненависть, и человеческую душу.', ['любовь'], ['ненависть']], ['Правда, эта женщина не стоит любви. Она не стоит и ненависти.', ['любви'], ['ненависти']], ['Для того, чтобы иметь право говорить к народу, нужно иметь в душе или великую ненависть к его недостаткам, или великую любовь к нему за его страдания.', ['любовь'], ['ненависть']], ['Скажите, напишите мне, что же собственно они сделали такого ужасного, что заставило вас не только изменить ваше мнение о них, но и заставило вас, доброго, христиански настроенного человека, отступить от первого условия доброй жизни — от простой братской любви к людям и заменить это чувство ненавистью или, по крайней мере, враждебностью.', ['любви'], ['ненавистью']], ['Надо чтобы — особенно с первых № (номеров журнала) не было видно исключительно религиозное направление (чтобы все было проникнуто религиозным духом, в том, чтобы не было недоброжелательности, а напротив, любовь к людям, а осуждение и негодование только к поступкам и, главное, к нехристианским учреждениям), но чтобы не были — особенно сначала — высказываемы религиозные основы.', ['любовь'], ['недоброжелательности']], ['Очень желал бы вам освободиться от тяжелого чувства нелюбви к целому народу, желаю потому, что желаю вам искренно всего хорошего. А любовь ко всем, это самое лучшее.', ['любовь'], ['нелюбви']], ['Но отказываясь торговать, вы тоже нарушаете закон любви, вызывая нелюбовь в своих родителях.', ['любви'], ['нелюбовь']]]"
['ЛЮБОВЬ'],['ВРАЖДА'],"[['Но надо соединяться не во имя вражды, а во имя взаимной любви; если же это единение кажется опасным и вредным некоторым людям, то тем хуже для них.', ['любви'], ['вражды']]]"
['МАКРОСКОПИЧЕСКИЙ'],['МИКРОСКОПИЧЕСКИЙ'],"[['Омертвление костей черепа, воспаление мозга, смерть и другие ужасы так и сыпались из его рта с бесконечными объяснениями макроскопических и микроскопических процессов.', ['макроскопических'], ['микроскопических']]]"
['МАКСИМУМ'],['МИНИМУМ'],"[['Лаконизм — это максимум поэтической информации при минимуме словесных затрат.', ['максимум'], ['минимуме']], ['— Я прошу минимум, — проговорил Доронин. — А ты максимум проси, — усмехнулся Костюков. — Страна большая, казна богатая.', ['максимум'], ['минимум']], ['Затем попросил Иртэн составить план: — Максимум и минимум. Учтите вспашку, перевозку саженцев, посадку.', ['Максимум'], ['минимум']]]"
"['МАЛЕНЬКИЙ', 'МАЛЕНЬКИЙ', 'МАЛЕНЬКИЙ', 'МАЛЕНЬКИЙ', 'МАЛЕНЬКИЙ']","['ГРОМАДНЫЙ', 'ОГРОМНЫЙ', 'ВЕЛИКИЙ', 'КОЛОССАЛЬНЫЙ', 'ГИГАНТСКИЙ']","[['В громадном, с высокой спинкой вольтеровском кресле она казалась маленькой и хрупкой, а сигарета в ее длинных розовых пальцах — нелепой игрушкой.', ['маленькой'], ['громадном']], ['Комнатенка маленькая, а письменный стол в ней громадный, прямо необзятный.', ['маленькая'], ['громадный']], ['Итак, римская знать сплотилась теперь вокруг чуждого ей до сих пор Цицерона, и они принялись вместе защищать свое громадное, расплывчатое, расплывшееся отечество от маленькой кучки людей, которая вся помещалась в нескольких домах Рима и провинции.', ['маленькой'], ['громадное']], ['Все эти предметы помещались на маленьком мраморном столике, уютно присоединившемся к громадному, резного дуба, буфету, изрыгающему пучки стеклянного и серебряного света.', ['маленьком'], ['громадному']], ['Какими маленькими, ничтожными представляются в сравнении с громадной тайгой его (беглого) злодейства, страдания ион сам!', ['маленькими'], ['громадной']], ['Но в этом маленьком теле был темперамент прямо огромный.', ['маленьком'], ['огромный']], ['Маленькое ее личико, до костей иссущенное лихорадкой, огромные в глубине черепа глаза и засохшие полоски губ, не закрывающих десен, показывали, что горит еще в птичьем ее теле огонь, и спокойно генеральша не уйдет в землю.', ['Маленькое'], ['огромные']], ['И его огромный кабинет казался в тот вечер очень маленьким.', ['маленьким'], ['огромный']], ['Не в лад с маленьким ростом, непомерно велики и тяжелы были кисти его лежавших на коленях иссиза-чугунных рук.', ['маленьким'], ['велики']], ['Маленький домик — колоссальное здание.', ['Маленький'], ['колоссальное']]]"
['МАЛО'],['МНОГО'],"[['Где запятой мало,а точки много,там надо точку с запятой.', ['мало'], ['много']], ['Как много было людей на земле, но как мало воздвигнуто на ней памятников людям!', ['мало'], ['много']], ['Асам гудишь, как шмель: шуму много, а толку мало.', ['мало'], ['много']], ['Много или мало дней прошло — война.', ['мало'], ['Много']], ['Звону много, да толку мало.', ['мало'], ['много']], ['Много спать — мало жить: что проспано, то прожито.', ['мало'], ['Много']], ['Если корова много ревет, значит, молока мало дает.', ['мало'], ['много']], ['Говори мало, слушай много, а думай еще больше.', ['мало'], ['много']]]"
['МАЛОДУШНЫЙ'],['МУЖЕСТВЕННЫЙ'],"[['Малодушный человек — мужественный человек. ', ['Малодушный'], ['мужественный']], ['Мужественный пеняет на себя, малодушный — на товарища.', ['малодушный'], ['Мужественный']]]"
"['МАЛОЕ', 'МАЛОЕ']","['БОЛЬШОЕ', 'ВЕЛИКОЕ']","[['Голодная и холодная жизнь разоренной войной страны повелительно требовала от Анатолия Васильевича этого постоянного совмещения великого с малым.', ['малым'], ['великого']], ['От великого до малого только шаг.', ['малого'], ['великого']], ['Начнешь в ученье с малого, постигнешь и большое.', ['малого'], ['большое']], ['Лучше в малом, да удача, чем в большом, да провал.', ['малом'], ['большом']], ['В малом неверный и в большом неверен.', ['малом'], ['большом']], ['Кто малое не познал, великое не познает.', ['малое'], ['великое']]]"
['МАЛОРОСЛЫЙ'],['РОСЛЫЙ'],"[['В низкой покривившейся избушке лесника Артема под большим темным образом сидели два человека: сам Артем, малорослый и тощий мужичонка с старческим помятым лицом и с бородкой, растущей из шеи, и прохожий охотник, молодой рослый парень в новой кумачовой рубахе и в больших болотных сапогах.', ['малорослый'], ['рослый']]]"
['МАЛЫЙ'],['СТАРЫЙ'],"[['Потомки уже вынесли ему (Тынянову) свой приговор, ибо тотчас же после появления в печати «Кюхля» сделался раз навсегда любимейшей книгой и старых и малых советских людей, от двенадиати до восьмидесяти.', ['малых'], ['старых']], ['Малые дети — старые родители.', ['Малые'], ['старые']]]"
['МАЛЫЙ'],['СТАРЫЙ'],"[['Тут меня малый и старый знают с ребяческих лет.', ['малый'], ['старый']], ['По станицам стар да мал остались.', ['мал'], ['стар']], ['В них (избах) не было ни души — ни старых, ни малых.', ['малых'], ['старых']]]"
"['МЕДЛЕННО', 'МЕДЛЕННО']","['БЫСТРО', 'СКОРО']","[['Ефимушка ел медленно и все вздыхал, посматривая куда-то в поле, влево от себя, а его спутник, весь углубясь в процесс насыщения, ел скоро и звучно чавкал, измеряя глазами краюху хлеба.', ['медленно'], ['скоро']], ['Скорей! Скорей! Ему кажется, что они медленно едут. Ему хочется подтолкнуть паровоз. Скорей! Скорей!', ['медленно'], ['Скорей']]]"
['МЕШАТЬ'],['ПОМОГАТЬ'],"[['Всем казалось дико: зачем насильно удерживать людей, которые не помогали, а мешали ?', ['мешали'], ['помогали']], ['Но обстоятельство, что я в «Ревизоре» годами играл роль Хлестакова, не только не мешало мне репетировать Городничего, но, напротив, очень помогало, так как я точно знал линию действия его основного партнера по пьесе.', ['мешало'], ['помогало']], ['Ваша работа мне не помешает, а, скорее, поможет.', ['помешает'], ['поможет']], ['Мне чудеса не только не странны и непонятны, но они мне, — думаю, что и всем людям, — совершенно не нужны. Они многому могут помешать, но помочь ничему не могут.', ['помешать'], ['помочь']]]"
['МИЗАНТРОПН'],['ФИЛАНТРОП'],"[['Мне вдруг стало казаться, что люди изменились. Честное слово! Все стали как будто бы лучше. Уроды стали красавцами, злые — добрыми, гордые — смиренными, мизантропы — филантропами.', ['мизантропы'], ['филантропами']]]"
"['МИКРОСКОПИЧЕСКИЙ', 'МИКРОСКОПИЧЕСКИЙ', 'МИКРОСКОПИЧЕСКИЙ']","['ГИГАНТСКИЙ', 'КОЛОССАЛЬНЫЙ', 'ГРАНДИОЗНЫЙ']","[['Непривычного путешественника подавляют простор, неохватные, грандиозные пространства. Микроскопическим существом чувствует себя здесь человек.', ['Микроскопическим'], ['грандиозные']]]"
['МИЛЛИОНЕР'],['НИЩИЙ'],"[['— Миллионер ты, что ли, что тратишь столько на извозчика? Боже, он сделает нас нищими.', ['Миллионер'], ['нищими']]]"
['МИЛЫЙ'],['НЕМИЛЫЙ'],"[['О, если б знала ты, что пред тобою было, Когда бежал корабль к туманной полосе, От милой Франции к Шотландии немилой, Все беды, весь позор и униженыя все!', ['милой'], ['немилой']]]"
['МИНУС'],['ПЛЮС'],"[['Жизнь изучается не по одним только плюсам, но и минусам.', ['минусам'], ['плюсам']], ['Математик сказал бы,что жизнь— это плюс, а смерть—это минус.', ['минус'], ['плюс']], ['По части нравственности я ни плюсами, ни минусами не выделяюсь из ряда обыкновенного.', ['минусами'], ['плюсами']], ['Вот что было заложено во мне с детства, со всеми плюсами и минусами «самости» в будущем.', ['минусами'], ['плюсами']], ['Говоря о плюсах, не скрывал от читателя минусов — и прежде чем сказать какому-нибудь произведению «да», обычно предварял это «да» множеством разнообразнейших «нет».', ['минусов'], ['плюсах']]]"
['МИР'],['ССОРА'],"[['У людей хоть и бедность, да мир. Уменя в доме крик, ссора шумная.', ['мир'], ['ссора']], ['Всякая ссора красна миром.', ['миром'], ['ссора']], ['Худой мир лучше доброй ссоры.', ['мир'], ['ссоры']]]"
['МИРИТЬСЯ'],['ССОРИТЬСЯ'],"[['Почему мириться ? Я с вами не ссорился.', ['мириться'], ['ссорился']], ['Ссорятся, мирятся и снова ссорятся.', ['мирятся'], ['Ссорятся']], ['Значит, что если завелась уж ссора с кем-нибудь, то прежде чем молиться, первое дело поди к тому, с кем поссорился, и помирись с ним.', ['помирись'], ['поссорился']]]"
['МЛАДШИЙ'],['СТАРШИЙ'],"[['Потом, когда брат был в Монголии, а Масленникову пришло время определить свою жизненную дорогу, мать, гордившаяся старшим сыном, но трепетавшая за него, умолила младшего вместо летной школы пойти в авиационный институт.', ['младшего'], ['старшим']], ['Такие разные — и все же, Как младший брат И старший брат.', ['младший'], ['старший']], ['Вечером и мальчики участвовали в чаепитии Старшие закурили, младшие поглядывали на них с завистью.', ['младшие'], ['Старшие']], ['В тедни еще был возможен такой разговор старшего командира с младшим.', ['младшим'], ['старшего']], ['Он назвал себя старшим садовником, хотя младших не было.', ['младших'], ['старшим']], ['И вообще в тоне, которым было сказано Потаповым «ничего особенного», было то особое фронтовое щегольство, с которым младшие начальники приглашали к столу старших повсюду, начиная с роты и концая армией. ', ['младшие'], ['старших']], ['Он подтянулся, с удовольствием, ловко и красиво отвечал на приветствия младших, четко рубил шаг при встрече со старшими.', ['младших'], ['старшими']]]"
"['МНИМЫЙ', 'МНИМЫЙ', 'МНИМЫЙ']","['РЕАЛЬНЫЙ', 'ДЕЙСТВИТЕЛЬНЫЙ', 'ПОДЛИННЫЙ']","[['Реальные проблемы — мнимые проблемы.', ['мнимые'], ['Реальные']], ['Смешав реальное и мнимое, «лирики» стали отрицать в принципе возможность воспроизведения в искусственной системе процессов творчества.', ['мнимое'], ['реальное']], ['Как же отличить подлинное вдохновение от мнимого ?— спросят меня.', ['мнимого'], ['подлинное']], ['Мастерство подлинного, а не мнимого перевоплощения актера всегда связано с широтой его жизненных интересов.', ['мнимого'], ['подлинного']]]"
['МОЖНО'],['НЕЛЬЗЯ'],"[['В тех случаях, когда этого доказать нельзя или когда можно доказать противное, то есть известно, что автор литературного произведения писал его, не имея намерения пропагандировать определенные воззрения, мы должны допустить такое намерение как бессознательное, но все же несомненно существующее.', ['можно'], ['нельзя']], ['Он по своему опыту солдатской службы хорошо знал, когда можно и когда нельзя жаловаться начальству.', ['можно'], ['нельзя']], ['— А мячик взять можно ?— спросил Митя. — Нельзя. д.', ['можно'], ['Нельзя']], ['На трех крышах был — везде нельзя. Бросился за водокачку в дальний вагон, там, наверное, можно.', ['можно'], ['нельзя']], ['Быть любопытной и неосторожной Наперекор мужскому их уму, Знать каждый раз, чего нельзя, что можно, И в руки не даваться никому.', ['можно'], ['нельзя']]]"
['МОКРЫЙ'],['СУХОЙ'],"[['В своем фраке напоминает он мокрую галку с сухим хвостом.', ['мокрую'], ['сухим']], ['Щепкин провел грязных и мокрых гостей в кухню, куда принесли горячей воды и сухое белье.', ['мокрых'], ['сухое']], ['Она приподняла его с подушки и сменила рубашку — сняла мокрую и холодную и надела сухую и, как ему показалось, очень теплую.', ['мокрую'], ['сухую']]]"
['МОЛОДЁЖЬ'],['СТАРИКИ'],"[['Город коснел в невежестве и предрассудках; старики только ходили в баню, дамы сплетничали, молодежь жила без идеалов, девицы день-деньской мечтали о замужестве и ели гречневую крупу, мужья били своих жен, и по улицам бродили свиньи.', ['молодежь'], ['старики']], ['Молодежь стремится занять место стариков.', ['Молодежь'], ['стариков']], ['Да и все старики таковы: они видели то, что молодежь уже никогда не увидит.', ['молодежь'], ['старики']]]"
['МОЛОДЕТЬ'],['СТАРЕТЬ'],"[['От радости человек молодеет, а от печали стареет.', ['молодеет'], ['стареет']], ['Еще не старый Ростов совсем не стареет, а молодеет с каждым днем.', ['молодеет'], ['стареет']]]"
['МОЛОДИТЬ'],['СТАРИТЬ'],"[['Пусть трезвый опыт не перечит. Что нам дорога — лучший быт. Она трясет и бьет, а — лечит. Не старит нас, а — молодит.', ['молодит'], ['старит']], ['Своя воля молодит,неволя — старит.', ['молодит'], ['старит']]]"
['МОЛОДОЕ'],['СТАРОЕ'],"[['Старое старится, а молодое растет.', ['Старое'], ['молодое']]]"
['МОЛОДОЙ'],['СТАРЫЙ'],"[['Но было совсем тихо, даже не кричали молодые и старые грачи, — улетели на поля.', ['молодые'], ['старые']], ['Старую лисицу не травят молодыми собаками.', ['молодыми'], ['Старую']], ['Молодое дерево — старое дерево.', ['Молодое'], ['старое']]]"
['МОЛОДОЙ'],['СТАРЫЙ'],"[['Старые классы издеваются над молодым искусством нового класса, говоря, что оно плохо потому, что и сам-то новый класс плох.', ['молодым'], ['Старые']]]"
"['МОЛОДОЙ', 'МОЛОДОЙ']","['СТАРЫЙ', 'СТАРИК']","[['Проблемы молодых — проблемы старых.', ['молодых'], ['старых']], ['Вы ненавидите стариков за отсталость и консерватизм, а молодых — за вольнодумство.', ['молодых'], ['стариков']], ['У молодых время тянется, у стариков — бежит.', ['молодых'], ['стариков']]]"
['МОЛОДОСТЬ'],['СТАРОСТЬ'],"[['Не там ли жизнь, где молодость — Курсивом. А старость — неразборчивый петит.', ['молодость'], ['старость']], ['Молодость — не грех, старость — не смех.', ['Молодость'], ['старость']], ['Молодость — пташка, а старость — черепашка.', ['Молодость'], ['старость']]]"
"['МОЛЧАЛИВЫЙ', 'МОЛЧАЛИВЫЙ']","['РАЗГОВОРЧИВЫЙ', 'БОЛТЛИВЫЙ']","[['Серпилин был за обедом разговорчив, а Валентина Егоровна молчалива.', ['молчалива'], ['разговорчив']], ['Баюков, который мог быть и молчаливым и разговорчивым, в зависимости от того, нравились или не нравились ему люди, успел за неделю рассказать Синиову, что не окончил семилетку по семейным обстоятельствам.', ['молчаливым'], ['разговорчивым']], ['Нечестный человек хочет быть честным, болтливый — молчаливым, развязный — сдержанным, трусливый — храбрым.', ['молчаливым'], ['болтливый']], ['Отец был словоохотлив, болтлив, сын вырос замкнутым, внимательным к чужому слову, молчаливым.', ['молчаливым'], ['болтлив']]]"
['МОРОЗ'],['ТЕПЛО'],"[['В комнате было тепло,и мальчики чувствовали,как в их озябщих телах, не желая уступать друг другу, щекотались тепло и мороз.', ['мороз'], ['тепло']], ['Пахнуло морозом — пахнуло теплом.', ['морозом'], ['теплом']], ['Вы в тепле, вам светло, вам мягко, а мы идем в мороз, в метель, по глубокому снегу.', ['мороз'], ['тепле']]]"
['МОРОЗНЫЙ'],['ТЁПЛЫЙ'],"[['В начале стояли теплые дни и морозные ночи,зима не уступала, но один теплый денек пересилил наконец — и потекли ручьи, запели птицы.', ['морозные'], ['теплые']]]"
"['МОЩЬ', 'МОЩЬ']","['СЛАБОСТЬ', 'БЕССИЛИЕ']","[['Это соединение (у) огромной моральной мощи и политической слабости бросилось в глаза Ленину, и он задумался над этим явлением, над его происхождением.', ['мощи'], ['слабости']]]"
['МУЧЕНИЕ'],['НАСЛАЖДЕНИЕ'],"[['Чтобы она (любовь) была наслаждением, а не мучением, я стараюсь делать ее красивой и обставлять множеством иллюзий.', ['мучением'], ['наслаждением']], ['Никакой спорт, никакие развлечения и игры никогда не доставляли мне такого наслаждения, как чтение лекций. Теперь же на лекциях я испытываю одно лишь мучение.', ['мучение'], ['наслаждения']]]"
['МЯГКИЙ'],['ТВЕРДЫЙ'],"[['По мягкому снегу идти было еще ничего, но как только он ступил на твердый, обдутый ветрами, покрытый ледком горб дороги, боль стала такой нестерпимой, что он остановился.', ['мягкому'], ['твердый']], ['Да будет мягким сердце, твердой — воля!', ['мягким'], ['твердой']], ['— Хорошо, быть по сему, — сказал он наконец твердым, решительным голосом, какой бывает у очень мягких, уступчивых людей Ю.С Крымов.', ['мягких'], ['твердым']]]"
['МЯГКИЙ'],['ЧЁРСТВЫЙ'],"[['Черствый хлеб сытнее мягкого; в нем меньше влаги.', ['мягкого'], ['Черствый']], ['Вам все вершины были малы И мягок самый черствый хлеб, О, молодые генералы Своих судеб!', ['черствый'], ['черствый']]]"
['МЯГКОСТЬ'],['ТВЁРДОСТЬ'],"[['Могу только радоваться на то, что вы сделали и делаете, и желать вам и твердости, которая нужна для того, чтобы не нарушить воли Бога, и той мягкости и доброты, которая нужна для того, чтобы не нарушить добрых, любовных отношений с людьми, которые считают себя вашими начальниками.', ['мягкости'], ['твердости']], ['Хотя недостаток твердости всегда выкупается многосторонностью и мягкостью.', ['мягкостью'], ['твердости']]]"
['НАВЕРХ'],['ВНИЗ'],"[['Ольга бегала то вниз, то наверх.', ['наверх'], ['вниз']], ['Мы спустились вниз к морю, погуляли по песку, потом, когда с моря повеяло вечерней сыростью, вернулись наверх.', ['наверх'], ['вниз']]]"
['НАГРАЖДАТЬ'],['НАКАЗЫВАТЬ'],"[['Старик Осип рассказывал как в Москву ходили целые обозы с битою птицей для молодых господ, как злых наказывали розгами или ссылали в тверскую вотчину, а добрых награждали.', ['награждали'], ['наказывали']]]"
